Chad	GDP per capita (current US$)	972.6793451
Togo	GDP per capita (current US$)	580.495021
Thailand	GDP per capita (current US$)	5448.828352
Tajikistan	GDP per capita (current US$)	962.4391249
Turkmenistan	GDP per capita (current US$)	6797.721166
Timor-Leste	GDP per capita (current US$)	1105.349369
Tonga	GDP per capita (current US$)	4364.291427
Trinidad and Tobago	GDP per capita (current US$)	17311.6297
Tunisia	GDP per capita (current US$)	4197.528276
Turkey	GDP per capita (current US$)	10646.03553
Tuvalu	GDP per capita (current US$)	4044.189464
"Taiwan, China"	GDP per capita (current US$)	0
Tanzania	GDP per capita (current US$)	836.4524887
Uganda	GDP per capita (current US$)	670.1788054
Ukraine	GDP per capita (current US$)	3855.42128
Upper middle income	GDP per capita (current US$)	7266.998499
Uruguay	GDP per capita (current US$)	15127.34622
United States	GDP per capita (current US$)	51456.65873
Uzbekistan	GDP per capita (current US$)	1719.036196
St. Vincent and the Grenadines	GDP per capita (current US$)	6351.600498
"Venezuela, RB"	GDP per capita (current US$)	12771.59504
Virgin Islands (U.S.)	GDP per capita (current US$)	0
Vietnam	GDP per capita (current US$)	1755.265424
Vanuatu	GDP per capita (current US$)	3158.420974
West Bank and Gaza	GDP per capita (current US$)	2787.169741
World	GDP per capita (current US$)	10444.17778
Samoa	GDP per capita (current US$)	4257.975447
"Yemen, Rep."	GDP per capita (current US$)	1289.034078
South Africa	GDP per capita (current US$)	7592.157997
"Congo, Dem. Rep."	GDP per capita (current US$)	390.7066035
Zambia	GDP per capita (current US$)	1686.618024
Zimbabwe	GDP per capita (current US$)	856.2996191
